bucket,count,biomass,Container,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000
2,20,0.677,B,0.025,0.045,0.016,0.009,0.015,0.031,0.036,0.039,0.006,0.025,0.054,0.023,0.078,0.049,0.040,0.030,0.034,0.018,0.045,0.059,,,,,
4,31,1.263,,0.035,0.024,0.054,0.032,0.034,0.038,0.026,0.026,0.085,0.060,0.027,0.024,0.023,0.022,0.038,0.021,0.058,0.036,0.102,0.074,,,,,
5,25,1.057,,0.126,0.030,0.029,0.018,0.017,0.030,0.041,0.022,0.040,0.070,0.068,0.056,0.049,0.044,0.027,0.050,0.012,0.026,0.027,0.018,,,,,
7,6,0.131,,0.026,0.016,0.015,0.016,0.023,0.035,,,,,,,,,,,,,,,,,,,
8,11,0.624,,0.011,0.023,0.036,0.077,0.073,0.061,0.074,0.052,0.039,0.084,0.094,,,,,,,,,,,,,,
9,33,1.753,,0.104,0.035,0.073,0.057,0.059,0.012,0.052,0.035,0.023,0.033,0.023,0.085,0.076,0.113,0.050,0.075,0.038,0.069,0.052,0.045,,,,,
12,8,0.270,B,0.014,0.027,0.092,0.052,0.038,0.017,0.011,0.019,,,,,,,,,,,,,,,,,
13,2,0.074,B,0.050,0.024,,,,,,,,,,,,,,,,,,,,,,,
14,28,2.201,B,0.172,0.091,0.089,0.073,0.064,0.086,0.090,0.010,0.142,0.077,0.088,0.076,0.042,0.031,0.032,0.048,0.068,0.021,0.044,0.084,,,,,
17,31,1.369,B,0.063,0.046,0.014,0.024,0.062,0.059,0.075,0.029,0.065,0.057,0.074,0.062,0.113,0.017,0.041,0.131,0.025,0.039,0.031,0.089,,,,,
19,3,0.070,P,0.054,0.010,0.006,,,,,,,,,,,,,,,,,,,,,,
20,7,0.343,,0.080,0.047,0.053,0.039,0.047,0.036,0.041,,,,,,,,,,,,,,,,,,
21,27,1.292,,0.069,0.031,0.079,0.083,0.097,0.041,0.028,0.068,0.049,0.032,0.038,0.033,0.036,0.023,0.023,0.095,0.034,0.082,0.023,0.024,,,,,
25,8,0.586,P,0.044,0.090,0.079,0.099,0.041,0.044,0.052,0.028,0.081,0.028,,,,,,,,,,,,,,,
26,5,0.137,B,0.026,0.033,0.014,0.022,0.042,,,,,,,,,,,,,,,,,,,,
28,14,1.136,B,0.083,0.066,0.092,0.131,0.093,0.082,0.062,0.036,0.073,0.084,0.142,0.046,0.136,0.010,,,,,,,,,,,
30,29,1.349,p,0.014,0.047,0.078,0.036,0.019,0.028,0.024,0.036,0.043,0.030,0.054,0.014,0.046,0.046,0.045,0.076,0.052,0.077,0.127,0.073,,,,,
31,9,0.360,P,0.087,0.010,0.040,0.041,0.029,0.042,0.049,0.027,0.035,,,,,,,,,,,,,,,,
32,9,0.257,B,0.022,0.015,0.023,0.020,0.034,0.051,0.023,0.051,0.018,,,,,,,,,,,,,,,,
33,25,0.980,p,0.028,0.077,0.023,0.041,0.097,0.051,0.079,0.080,0.114,0.026,0.037,0.034,0.020,0.043,0.041,0.037,0.024,0.035,0.042,0.021,,,,,
34,25,0.891,p,0.036,0.024,0.029,0.065,0.030,0.011,0.080,0.014,0.048,0.037,0.031,0.026,0.076,0.015,0.031,0.033,0.056,0.022,0.023,0.019,,,,,
43,37,1.247,p,0.088,0.026,0.024,0.068,0.021,0.018,0.032,0.022,0.037,0.039,0.025,0.036,0.025,0.093,0.018,0.047,0.070,0.053,0.031,0.044,,,,,
