bucket,bucktime,Date_Time,Cyano,Green Algae,Diatoms,Total Conc.,Reflection
1,1,17-07-15 8:28:01,0.04,0.13,0.19,0.36,62
2,,17-07-15 8:29:06,0.05,0,0.29,0.34,60
3,,17-07-15 8:30:04,0.07,0,0.19,0.26,42
4,4,17-07-15 8:31:09,0.16,0,0.72,0.88,36
5,,17-07-15 8:32:56,0.15,0,0.64,0.79,33
6,,17-07-15 8:33:57,0.09,0,0.48,0.57,47
7,7,17-07-15 8:35:04,0.04,0,0.24,0.28,64
8,,17-07-15 8:36:23,0.05,0,0.42,0.47,54
9,,17-07-15 8:37:25,0.13,0,0.56,0.69,41
10,10,17-07-15 8:38:13,0.08,0,0.48,0.56,57
11,,17-07-15 8:42:34,0.32,0,0.68,1,28
12,,17-07-15 8:43:19,0.06,0,0.28,0.34,47
13,13,17-07-15 8:44:05,0.29,0,1.22,1.51,32
14,,17-07-15 8:45:20,0.09,0,0.38,0.47,47
15,,17-07-15 8:46:03,0.27,0,1.22,1.49,47
16,16,17-07-15 8:46:41,0.35,0,1.63,1.98,32
17,,17-07-15 8:47:59,0.02,0,0.17,0.19,63
18,,17-07-15 8:48:34,0.13,0,0.61,0.74,43
19,19,17-07-15 8:49:17,0.26,0,0.96,1.22,30
20,,17-07-15 8:50:18,0.54,0,2.33,2.87,36
21,,17-07-15 8:51:10,0.18,0,0.85,1.03,39
22,,17-07-15 8:52:02,0.09,0,0.49,0.58,50
23,,17-07-15 8:52:36,0.06,0,0.38,0.44,56
24,24,17-07-15 8:53:10,1.06,0,5.32,6.38,30
25,25,17-07-15 8:55:12,0.09,0,0.39,0.48,47
26,,17-07-15 8:56:14,0.04,0,0.24,0.28,57
27,,17-07-15 8:56:57,0.03,0,0.25,0.28,56
28,28,17-07-15 8:57:41,0.12,0,0.58,0.7,42
29,,17-07-15 8:58:36,0.03,0,0.3,0.33,61
30,,17-07-15 8:59:16,0.12,0,0.57,0.69,34
31,31,17-07-15 8:59:56,0.08,0,0.37,0.45,44
32,,17-07-15 9:00:53,0.1,0,0.45,0.55,45
33,,17-07-15 9:01:56,0.13,0,0.7,0.83,56
34,34,17-07-15 9:02:36,0.34,0,1.46,1.8,28
35,,17-07-15 9:03:35,0.42,0,2.19,2.61,29
36,,17-07-15 9:04:14,0.11,0,0.6,0.71,42
37,37,17-07-15 9:04:57,0.06,0.27,0.29,0.62,52
38,,17-07-15 9:05:48,0.08,0.06,0.45,0.59,56
39,,17-07-15 9:07:06,0.15,0,1.13,1.28,48
40,40,17-07-15 9:07:46,0.25,0,0.96,1.21,32
41,41,17-07-15 9:09:21,0.15,0.04,0.32,0.51,37
42,,17-07-15 9:10:20,0.14,0,0.81,0.95,41
43,43,17-07-15 9:10:57,0.21,0,0.86,1.07,39
44,,17-07-15 9:11:51,0.12,0,0.62,0.74,37
45,,17-07-15 9:12:33,0.13,0,0.71,0.84,48
46,46,17-07-15 9:13:06,0.04,0.03,0.3,0.37,53
47,,17-07-15 9:13:52,0.07,0.04,0.4,0.51,52
48,,17-07-15 9:14:24,0.06,0,0.33,0.39,52
49,,17-07-15 9:26:31,0.16,0,0.88,1.04,44
50,,17-07-15 9:27:32,0.2,0,0.96,1.16,36
51,,17-07-15 9:28:13,0.05,0,0.25,0.3,58
52,,17-07-15 9:29:08,0.07,0,0.36,0.43,48
53,,17-07-15 9:30:02,0.07,0,0.37,0.44,50
54,,17-07-15 9:30:41,0.11,0.03,0.52,0.66,50
55,,17-07-15 9:31:18,0.18,0,0.76,0.94,38
56,,17-07-15 9:32:15,0.43,0,1.42,1.85,22
57,,17-07-15 9:33:05,0.09,0,0.48,0.57,49
58,,17-07-15 9:33:57,0.08,0.03,0.26,0.37,36
59,,17-07-15 9:34:46,0.08,0,0.44,0.52,46
60,,17-07-15 9:35:30,0.06,0,0.33,0.39,54
61,,17-07-15 9:36:20,0.1,0,0.67,0.77,46
62,,17-07-15 9:37:07,0.21,0,0.88,1.09,39
63,,17-07-15 9:38:13,0.06,0,0.37,0.43,47
64,,17-07-15 9:39:00,0.21,0,0.9,1.11,41
65,,17-07-15 9:40:22,0.14,0,0.57,0.71,41
66,,17-07-15 9:40:54,0.27,0,1.3,1.57,42
67,,17-07-15 9:41:34,0.05,0,0.31,0.36,56
68,,17-07-15 9:42:27,0.06,0,0.32,0.38,50
69,,17-07-15 9:43:12,0.09,0,0.4,0.49,42
70,,17-07-15 9:43:43,0.18,0,0.61,0.79,34
71,,17-07-15 9:44:36,0.06,0,0.28,0.34,46
72,,17-07-15 9:45:09,0.51,0.37,1.68,2.56,38
73,,17-07-15 9:46:27,0.06,0,0.32,0.38,55
74,,17-07-15 9:47:28,0.21,0,0.81,1.02,43
75,,17-07-15 9:48:04,0.13,0,0.6,0.73,40
76,,17-07-15 9:48:46,0.18,0,0.93,1.11,36
77,,17-07-15 9:49:43,0.11,0,0.46,0.57,48
78,,17-07-15 9:50:48,0.09,0,0.42,0.51,54
79,,17-07-15 9:51:24,0.44,0,2.63,3.07,24
80,,17-07-15 9:52:24,0.16,0,0.82,0.98,50
81,,17-07-15 9:53:07,0.14,0,0.72,0.86,47
82,,17-07-15 9:54:25,0.05,0,0.33,0.38,54
83,,17-07-15 9:55:19,0.15,0,0.44,0.59,43
84,,17-07-15 9:56:05,0.09,0,0.46,0.55,47
85,,17-07-15 9:56:56,0.4,0,2.53,2.93,33
86,,17-07-15 9:57:55,0.22,0,0.77,0.99,45
87,,17-07-15 9:59:08,0.05,0.03,0.36,0.44,55
88,,17-07-15 10:00:23,0.05,0,0.32,0.37,56
89,,17-07-15 10:02:00,0.14,0,0.76,0.9,45
90,,17-07-15 10:02:57,0.05,0,0.35,0.4,56
91,,17-07-15 10:04:34,0.36,0,1.31,1.67,30
92,,17-07-15 10:05:24,0.03,0,0.21,0.24,62
93,,17-07-15 10:06:04,0.09,0.13,0.46,0.68,46
94,,17-07-15 10:06:47,0.22,0,1.06,1.28,47
95,,17-07-15 10:07:58,0.19,0,0.98,1.17,44
96,,17-07-15 10:08:46,0.08,0,0.43,0.51,54
97,,17-07-15 11:14:09,0.1,0,0.38,0.48,46
98,,17-07-15 11:15:00,0.28,0,1.4,1.68,41
99,,17-07-15 11:15:38,0.06,0,0.47,0.53,56
100,,17-07-15 11:16:15,0.09,0,0.38,0.47,44
101,,17-07-15 11:17:06,0.19,0,0.82,1.01,39
102,,17-07-15 11:17:46,0.04,0,0.16,0.2,60
103,,17-07-15 11:18:21,0.25,0,0.94,1.19,41
104,,17-07-15 11:19:09,0.16,0,0.97,1.13,40
105,,17-07-15 11:19:45,0.06,0,0.35,0.41,54
106,,17-07-15 11:20:26,0.12,0,0.7,0.82,41
107,,17-07-15 11:21:26,0.15,0,0.72,0.87,44
108,,17-07-15 11:22:04,0.17,0,0.59,0.76,48
109,,17-07-15 11:22:50,0.11,0,0.58,0.69,43
110,,17-07-15 11:23:37,0.04,0,0.27,0.31,53
111,,17-07-15 11:24:16,0.08,0,0.39,0.47,43
112,,17-07-15 11:25:30,0.04,0,0.24,0.28,55
113,,17-07-15 11:26:23,0.03,0,0.11,0.14,64
114,,17-07-15 11:26:57,0.05,0,0.23,0.28,53
115,,17-07-15 11:27:44,0.05,0,0.24,0.29,52
116,,17-07-15 11:28:38,0.05,0,0.24,0.29,53
117,,17-07-15 11:29:11,0.06,0,0.34,0.4,45
118,,17-07-15 11:29:45,0.22,0,1.02,1.24,49
119,,17-07-15 11:30:38,0.22,0,0.7,0.92,45
120,,17-07-15 11:31:27,0.12,0,0.75,0.87,45
121,,17-07-15 11:34:15,0.05,0,0.26,0.31,45
122,,17-07-15 11:35:08,1.53,0,7.32,8.85,21
123,,17-07-15 11:35:47,0.05,0,0.27,0.32,55
124,,17-07-15 11:36:26,0.05,0,0.2,0.25,52
125,,17-07-15 11:37:30,0.18,0,0.64,0.82,25
126,,17-07-15 11:43:01,0.04,0,0.22,0.26,60
127,,17-07-15 11:44:03,0.03,0,0.23,0.26,62
128,,17-07-15 11:44:59,0.03,0,0.18,0.21,60
129,,17-07-15 11:45:35,0.13,0,0.67,0.8,48
130,,17-07-15 11:46:26,0.22,0,1.05,1.27,37
131,,17-07-15 11:47:10,0.09,0,0.34,0.43,44
132,,17-07-15 11:47:45,0.11,0,0.8,0.91,54
133,,17-07-15 11:48:37,0.46,0,2.02,2.48,36
134,,17-07-15 11:49:25,0.05,0,0.26,0.31,50
135,,17-07-15 11:50:00,0.06,0.06,0.5,0.62,58
136,,17-07-15 11:50:40,0.07,0,0.28,0.35,46
137,,17-07-15 11:51:38,0.08,0,0.24,0.32,37
138,,17-07-15 11:52:14,0.13,0,0.42,0.55,40
139,,17-07-15 11:54:36,0.06,0.07,0.33,0.46,51
140,,17-07-15 11:55:24,0.04,0,0.21,0.25,52
141,,17-07-15 11:55:59,0.01,0.01,0.04,0.06,64
142,,17-07-15 11:57:27,0.07,0,0.33,0.4,50
143,,17-07-15 11:58:16,0.05,0,0.21,0.26,51
144,,17-07-15 11:58:52,0.06,0,0.33,0.39,46
