bucket,width,weight,Initial date,width2,weight2,date2,comment2,width3,weight3,date3,comment3,widthfin,weightfin,datefin,commentfin
1,18.87,1.9,29-06-15,,,,,,,,,19.51,2,05-08-15,
2,17.49,1.7,29-06-15,22.36,2.7,29-07-15,crab found in table,,,,,22.36,2.71,05-08-15,
3,,,,,,,,,,,,24.92,3.98,05-08-15,
6,23.09,3.6,29-06-15,,,,,,,,,23.83,3.64,05-08-15,
7,20.54,2.8,29-06-15,22.1,1.7,08-07-15,,,,,,27.07,5.34,05-08-15,
8,19.73,2.2,29-06-15,,,,,,,,,26.84,4.8,05-08-15,
10,19.13,2.1,29-06-15,,,,,,,,,26.73,3.83,05-08-15,
12,20.74,2.3,29-06-15,,,,,,,,,26.84,4.84,05-08-15,
15,24.43,4,29-06-15,,,,,,,,,32.67,8.23,05-08-15,
19,19.17,1.8,29-06-15,23,2.8,20-07-15,,,,,,21.6,2.88,05-08-15,
20,21.51,2.2,29-06-15,,,,,,,,,26.74,4.13,05-08-15,
22,19.48,2.2,29-06-15,,,,,,,,,19.33,2.15,05-08-15,
23,21.62,2.6,29-06-15,26,3.8,20-07-15,,,,,,,,05-08-15,
25,20.86,2.5,29-06-15,,2.5,02-08-15,"replace from table, no measrue",,,,,26.5,4.22,05-08-15,
26,17.52,1.7,29-06-15,,,,,,,,,26.2,4.11,05-08-15,
27,19.19,2,29-06-15,25,3.6,29-07-15,,,,,,27.87,3.71,05-08-15,
29,19.32,2,29-06-15,,,,,,,,,21.16,1.99,05-08-15,
31,18.19,1.8,29-06-15,,,,,,,,,25.47,3.78,05-08-15,
32,19.54,2,29-06-15,,,,,,,,,20.34,2.09,05-08-15,
33,20.75,2.7,29-06-15,,,,,,,,,28.84,5.09,05-08-15,
37,21.64,2.7,29-06-15,,,,,,,,,24.14,2.72,05-08-15,
38,22.01,2.8,29-06-15,,,,,,,,,,,05-08-15,
45,20.1,1.9,29-06-15,20.9,1.8,08-07-15,,,,,,,,05-08-15,
46,17.07,1.6,29-06-15,,,,,,,,,17.86,1.65,05-08-15,
47,22.62,3.5,29-06-15,,,,,,,,,31.41,6.95,05-08-15,
49,18.77,2,29-06-15,,,,,,,,,28.365,5.325,05-08-15,"two in final, 31.86,7.1 and24.87 and 3.55"
51,20.54,2.6,29-06-15,,,,,,,,,28.66,5.61,05-08-15,
52,23.16,3.8,29-06-15,25,3.6,27-07-15,,25,,02-08-15,,24.44,3.09,05-08-15,Dead
54,23.74,3.4,29-06-15,,,,,,,,,24.94,3.64,05-08-15,
57,23.07,3.4,29-06-15,18,1.5,27-07-15,,,,,,17.73,1.45,05-08-15,
59,19.18,3,29-06-15,,,,,,,,,26.04,4.76,05-08-15,
60,21.08,2.3,29-06-15,,,,,,,,,28.14,5.58,05-08-15,
61,20.54,2.5,29-06-15,,,,,,,,,21.35,2.6,05-08-15,
67,24.56,4,29-06-15,,,,,,,,,27.58,4.06,05-08-15,
68,26.24,4.6,29-06-15,,,,,,,,,35.46,9.22,05-08-15,
71,20.8,2.4,29-06-15,19,1.8,20-07-15,,,,,,18.99,1.66,05-08-15,
72,15.83,1.2,29-06-15,,,,,,,,,17.32,1.66,05-08-15,
73,21.7,2.8,29-06-15,,,,,,,,,30.01,5.73,05-08-15,
74,25.58,4.2,29-06-15,23,2.4,20-07-15,,,,,,20.66,2.54,05-08-15,
80,21.78,3,29-06-15,,,,,,,,,23.09,3.28,05-08-15,
81,21.05,2.4,29-06-15,,,,,,,,,21.66,2.61,05-08-15,
82,22.4,3.6,29-06-15,22,2.8,30-06-15,removed added crab on 10/7/15-had 2 crabs,,,,,,,05-08-15,
83,24.75,4,29-06-15,,,,,,,,,32.28,8.6,05-08-15,
87,20.51,2.2,29-06-15,21,2.5,29-07-15,,,,,,21.26,2.53,05-08-15,
88,22.17,3.3,29-06-15,22,2.9,20-07-15,,,,,,28.33,5.55,05-08-15,
90,20.86,2.4,29-06-15,25,4.6,29-07-15,,,,,,25.97,4.61,05-08-15,
92,18.26,1.6,29-06-15,,,,,,,,,24.19,3.19,05-08-15,
93,21.74,3,29-06-15,,,,,,,,,29.58,6.06,05-08-15,
96,19.16,1.7,29-06-15,,,,,,,,,24.9,4.14,05-08-15,
97,22.71,3.3,29-06-15,,,,,,,,,30.13,6.91,05-08-15,
99,19.05,1.9,29-06-15,,,,,,,,,20.22,1.58,05-08-15,Dead
100,17.7,1.8,29-06-15,,,,,,,,,23.88,3.63,05-08-15,
105,18.57,1.7,29-06-15,,,,,,,,,19.45,1.79,05-08-15,
107,20.14,2.4,29-06-15,24.2,5.3,23-07-15,,,,,,28.11,5.36,05-08-15,
108,17.33,1.6,29-06-15,,,,,,,,,23.63,3.67,05-08-15,
110,21.05,2.6,29-06-15,28,5.4,30-06-15,,,,,,35.38,9.89,05-08-15,
111,18.73,1.7,29-06-15,,,,,,,,,24.16,4.14,05-08-15,
112,25.62,3.9,29-06-15,,,,,,,,,32.34,7.52,05-08-15,
113,25.6,4.3,29-06-15,,,,,,,,,32.75,8.17,05-08-15,
114,23.37,3.6,29-06-15,,,,,,,,,30.48,7.12,05-08-15,
116,26.12,4.3,29-06-15,,,,,,,,,25.88,4.76,05-08-15,
121,18.59,2,29-06-15,22.1,2.1,08-07-15,,,,,,,,05-08-15,
123,22.6,3.2,29-06-15,,,,,,,,,37.6,5.93,05-08-15,peeler
127,19.35,2.2,29-06-15,,,,,,,,,27.57,4.76,05-08-15,
128,19.42,2.1,29-06-15,,,,,,,,,,,05-08-15,
129,23.81,3.8,29-06-15,,,,,,,,,38.3,7.7,05-08-15,
131,18.77,2,29-06-15,,,,,,,,,28.37,3.4,05-08-15,
133,16.07,1.4,29-06-15,,,,,,,,,20.96,1.9,05-08-15,
135,21.24,2.7,29-06-15,,,,,,,,,35.22,5.46,05-08-15,
138,24.66,3.9,29-06-15,,,,,,,,,30.68,4.5,05-08-15,Dead
140,19.33,2,29-06-15,23,3.1,20-07-15,,,,,,27.27,3.06,05-08-15,
143,24.16,3.8,29-06-15,18,1.8,29-07-15,,,,,,24.28,1.73,05-08-15,
