Type,Bucket,bag short,final,comments,real bag,biomass,
ulva,1,6,3.26,,3.06,0.20,
ulva,2,6,4.68,,3.06,1.62,
ulva,3,4,4.82,,3.04,1.78,
ulva,4,6,5.78,,3.06,2.72,
ulva,8,7,6.58,,3.07,3.51,
ulva,11,6,3.46,,3.06,0.40,
ulva,13,9,3.26,,3.09,0.17,
ulva,16,6,3.18,,3.06,0.12,
ulva,18,6,4.55,,3.06,1.49,
ulva,19,6,3.60,,3.06,0.54,
ulva,21,7,5.97,,3.07,2.90,
ulva,23,8,3.78,,3.08,0.70,
ulva,24,8,3.75,,3.08,0.67,
ulva,28,6,3.72,,3.06,0.66,
ulva,31,6,4.58,,3.06,1.52,
ulva,34,7,7.03,,3.07,3.96,
ulva,35,8,3.25,,3.08,0.17,
ulva,36,6,3.40,,3.06,0.34,
ulva,137,8,4.35,,3.08,1.27,
ulva,39,7,3.05,,3.07,-0.02,
ulva,40,8,7.44,,3.08,4.36,
ulva,41,4,5.09,,3.04,2.05,
ulva,42,10,4.53,,3.10,1.43,
ulva,44,8,4.83,,3.08,1.75,
ulva,45,7,4.33,,3.07,1.26,
ulva,47,6,4.57,,3.06,1.51,
ulva,46,8,3.24,,3.08,0.16,
ulva,50,7,6.21,,3.07,3.14,
ulva,53,6,4.28,,3.06,1.22,
ulva,58,7,4.81,,3.07,1.74,
ulva,59,5,4.09,,3.05,1.04,
ulva,61,8,4.39,,3.08,1.31,
ulva,62,7,3.04,,3.07,0.03,corrected
ulva,63,7,5.07,,3.07,2.00,
ulva,64,7,3.12,,3.07,0.05,
ulva,66,10,3.13,,3.10,0.03,
ulva,67,6,4.41,,3.06,1.35,
ulva,72,3,4.20,,2.74,1.46,
ulva,73,7,3.25,,3.07,0.18,
ulva,76,6,4.70,,3.06,1.64,
ulva,77,8,4.69,,3.08,1.61,
ulva,79,7,3.46,,3.07,0.39,
ulva,82,5,4.67,,3.05,1.62,
ulva,84,6,8.74,,6.15,2.59,
ulva,85,9,3.16,,3.09,0.07,
ulva,87,8,4.38,,3.08,1.30,
ulva,88,6,9.76,,6.12,3.64,
ulva,89,6,3.02,,3.06,0.02,corrected
ulva,90,6,9.07,,6.11,2.96,
ulva,91,8,6.08,,3.08,3.00,
ulva,93,9,4.62,,3.09,1.53,
ulva,94,5,3.04,,3.05,0.05,corrected
ulva,95,10,4.85,,3.10,1.75,
ulva,96,7,4.02,,3.07,0.95,
ulva,99,7,3.71,,3.07,0.64,
ulva,100,8,3.04,,3.08,-0.04,
ulva,102,6,3.19,,3.06,0.13,
