Table,Table bucket,Overall bucket,Ulva,Pods,Crab,Kelp,Flow1_7,Flow2_7,Flow3_7,Ecto est 1st sam,flow 1st sam,flow 22-7,flow 28-7,Date/Time,Cyano,Green Algae,Diatoms,Total Conc.,Cyano cell,Green Algae cell,Diatoms cell,Total cell count,Reflection
1,1,1,Yes,No,Yes,One piece,,,,0,420,415,485,09-07-15 10:35:31,0.05,0,0.29,0.34,500,0,1305,1805,61
1,2,2,Yes,Yes,Yes,No,,,,0,385,395,201,09-07-15 10:37:15,0.09,0,0.48,0.57,900,0,2160,3060,50
1,3,3,Yes,No,No,Ground up,340,315,218,0,235,195,311,09-07-15 10:38:15,0.19,0,1.68,1.87,1900,0,7560,9460,16
1,4,4,Yes,Yes,No,No,,,,5,420,340,335,09-07-15 10:39:29,0.06,0,0.34,0.4,600,0,1530,2130,54
1,5,5,No,Yes,No,No,,,,5,420,345,265,09-07-15 10:40:16,0.08,0,0.34,0.42,800,0,1530,2330,44
1,6,6,Yes,No,Yes,No,380,385,360,5,405,333,222,09-07-15 10:41:00,0.07,0,0.5,0.57,700,0,2250,2950,56
1,7,7,No,Yes,Yes,One piece,,,,0,355,125,230,09-07-15 10:41:45,0.08,0,0.41,0.49,800,0,1845,2645,54
1,8,8,Yes,Yes,Yes,One piece,,,,5,355,262,159,09-07-15 10:42:42,0.07,0,0.35,0.42,700,0,1575,2275,53
1,9,9,Yes,Yes,No,Ground up,298,325,312,0,325,195,240,09-07-15 10:43:26,0.05,0.03,0.28,0.36,500,159,1260,1919,55
1,10,10,No,No,Yes,No,,,,0,350,240,155,09-07-15 10:44:16,0.03,0,0.17,0.2,300,0,765,1065,61
1,11,11,No,No,No,Ground up,,,,10,355,240,200,,,,,,,,,,
1,12,12,No,Yes,Yes,No,375,355,310,0,365,225,205,,,,,,,,,,
1,13,13,No,No,No,No,,,,5,195,240,205,,,,,,,,,,
1,14,14,No,Yes,No,Ground up,,,,5,170,180,110,,,,,,,,,,
1,15,15,No,No,Yes,Ground up,170,170,180,5,335,340,115,,,,,,,,,,
1,16,16,No,No,No,One piece,,,,0,215,135,85,,,,,,,,,,
1,17,17,No,Yes,No,One piece,,,,0,170,160,160,,,,,,,,,,
