Table,position,bucket,Time,Species ,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,,,,,,,,,,,,,
1,1,1,1,Ostracod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Copepod,5,5,6,4,4,5,3,3,7,3,4,4,6,3,5,,,,,,,,,,,,,,,,,,
1,1,1,1,Gastropod,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Amphipods,4,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Ostracod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Copepod,4,3,3,3,3,3,5,4,3,5,3,4,4,6,5,4,3,3,,,,,,,,,,,,,,,
1,2,2,1,Gastropod,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Isopods,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Amphipods,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Copepod,5,4,5,3,4,3,4,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Ostracod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Copepod,3,5,5,4,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Isopods,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Amphipods,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Copepod,5,4,5,4,4,4,5,5,3,3,3,5,6,3,3,3,,,,,,,,,,,,,,,,,
1,5,5,1,Gastropod,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Isopods,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Amphipods,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Larvae,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Copepod,5,3,4,3,6,5,5,6,3,4,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Isopods,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Amphipods,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Larvae,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Ostracod,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Copepod,5,3,3,5,3,3,5,3,5,5,5,5,6,6,3,3,5,6,5,4,4,5,3,3,3,4,3,3,4,5,4,5,3
1,7,7,1,Gastropod,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Larvae,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Copepod,5,3,6,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Isopods,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Amphipods,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Copepod,3,4,4,4,7,7,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Isopods,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Amphipods,5,4,7,4,12,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Larvae,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Copepod,5,3,4,3,7,6,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Larvae,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Copepod,4,7,4,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Amphipods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Larvae,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Ostracod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Copepod,3,3,4,3,4,5,6,5,3,4,4,4,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Gastropod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Mites ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Brittle stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Amphipods,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Larvae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,1,Nematodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Ostracod,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Copepod,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Gastropod,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,1,Foraminifera,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
