Bucket,Initial,Final
1,1.418,0.712
2,1.082,0.632
3,1.223,0.73
4,1.327,0.729
5,1.212,0.704
6,1.221,0.606
7,1.308,0.595
8,1.092,0.62
9,1.263,0.519
10,1.085,0.613
11,1.16,0.537
12,1.149,0.542
13,1.07,0.653
14,1.065,0.715
15,0.921,0.664
16,1.192,0.638
17,1.436,0.686
18,1.296,0.561
19,0.938,0.492
20,1.207,0.575
21,1.24,0.625
22,0.988,0.621
23,0.826,0.5
24,1.014,0.619
25,1.055,0.559
26,1.142,0.966
27,1.203,0.597
28,0.999,0.529
29,1.104,0.672
30,1.18,0.673
31,1.066,0.557
32,1.304,0.605
33,1.273,0.591
34,1.233,0.672
35,1.261,0.623
36,1.217,0.607
37,1.289,0.556
38,1.144,0.661
39,1.09,0.598
40,1.026,0.625
41,1.084,0.54
42,1.232,0.707
43,0.982,0.565
44,0.977,0.85069
45,1.043,0.82269
46,1.017,0.86669
47,1.09,0.82869
48,1.136,0.98669
49,1.029,0.78969
50,1.275,0.81969
51,1.438,0.81869
52,1.442,0.68369
53,0.981,0.79969
54,0.957,0.73469
55,1.069,0.73369
56,0.947,0.72869
57,1.176,0.66669
58,1.269,0.66669
59,1.716,0.81369
60,1.115,0.88369
61,1.016,0.74269
62,0.997,0.47369
63,1.145,0.85169
64,1.068,1.09469
65,1.208,0.69169
66,1.174,0.60169
67,1.051,0.60969
68,1.059,0.66169
69,0.984,0.73269
70,1.064,0.55669
71,1.083,0.58469
72,1.203,0.62569
73,1.462,0.616
74,1.335,1.138
75,1.248,0.824
76,1.05,0.574
77,1.165,0.764
78,1.146,1.18
79,1.071,1
80,1.202,0.918
81,1.169,0.865
82,1.101,0.802
83,1.111,1.009
84,1.196,0.942
85,1.546,0.886
86,1.27,1.028
87,1.167,0.827
88,1.066,0.835
89,1.396,0.99
90,1.365,0.832
91,1.244,0.778
92,1.302,0.999
93,1.434,0.818
94,1.281,0.802
95,1.236,0.714
96,1.44,0.843
97,1.437,0.893
98,1.407,1.193
99,1.299,0.865
100,1.408,0.837
101,1.551,1.039
102,1.288,0.906
103,1.22,0.822
104,1.531,0.781
105,1.318,0.719
106,1.32,0.81
107,1.301,0.998
108,1.403,0.738
109,1.171,0.79
110,1.228,0.832
111,1.131,0.897
112,1.048,1.021
113,1.018,0.687
114,1.105,0.739
115,1.229,0.792
116,1.177,0.849
117,1.16,0.71
118,1.127,0.776
119,1.315,0.714
120,1.381,0.8
121,1.243,0.726
122,1.262,0.764
123,1.179,0.77
124,1.26,0.667
125,1.803,0.953
126,1.232,0.897
127,1.112,0.824
128,0.927,0.688
129,1.235,0.658
130,1.185,0.82
131,1.345,0.872
132,1.419,0.919
133,1.536,0.833
134,1.377,1.223
135,1.411,1.019
136,0.682,1.118
137,1.262,
138,2.535,0.584
139,1.477,0.995
140,1.236,0.899
141,1.351,0.835
142,1.183,1.349
143,1.202,0.862
144,1.15,0.78
