Table,Table bucket,Overall bucket,Ulva,Pods,Crab,Kelp,Nitrate,Nitrite,Phosphate,Ammonium,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,Yes,No,Yes,One piece,0.483,0.082,0.121,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,Yes,Yes,Yes,No,0.349,0.069,0.14,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,Yes,No,No,Ground up,0.26,0.058,0.074,2.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,Yes,Yes,No,No,0.36,0.08,0.165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,No,Yes,No,No,0.486,0.097,0.185,3.515,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,Yes,No,Yes,No,0.581,0.085,0.137,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,No,Yes,Yes,One piece,0.461,0.09,0.189,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,Yes,Yes,Yes,One piece,0.333,0.069,0.103,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,Yes,Yes,No,Ground up,1.801,0.105,0.212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,No,No,Yes,No,0.855,0.099,0.144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,No,No,No,Ground up,0.463,0.098,0.172,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,No,Yes,Yes,No,0.653,0.106,0.186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,No,No,No,No,0.471,0.091,0.143,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,No,Yes,No,Ground up,0.293,0.063,0.151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,No,No,Yes,Ground up,0.421,0.094,0.151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,No,No,No,One piece,1.098,0.074,0.096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,No,Yes,No,One piece,1.353,0.113,0.264,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,Yes,No,No,No,0.416,0.089,0.187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,Yes,Yes,Yes,Ground up,0.38,0.087,0.131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,No,Yes,Yes,Ground up,0.599,0.084,0.11,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,Yes,Yes,No,One piece,0.292,0.07,0.169,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,No,No,Yes,One piece,0.489,0.093,0.072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,Yes,No,Yes,Ground up,0.295,0.076,0.068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,Yes,No,No,One piece,0.36,0.095,0.128,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,No,Yes,Yes,Ground up,0.525,0.082,0.089,1.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,No,Yes,Yes,No,0.51,0.1,0.214,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,No,No,Yes,Ground up,0.383,0.083,0.157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,Yes,Yes,No,Ground up,0.381,0.088,0.166,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,No,No,Yes,One piece,0.358,0.078,0.106,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,No,Yes,No,Ground up,0.453,0.109,0.232,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,Yes,Yes,Yes,No,0.38,0.083,0.146,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,No,Yes,Yes,One piece,0.408,0.087,0.154,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,Yes,Yes,Yes,One piece,1.032,0.113,0.258,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,Yes,Yes,No,One piece,0.6,0.078,0.142,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,No,No,No,One piece,0.604,0.102,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,No,No,No,No,0.611,0.11,0.291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,37,Yes,No,Yes,Ground up,0.525,0.084,0.093,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,38,No,No,Yes,No,0.497,0.088,0.104,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,39,No,No,No,Ground up,0.415,0.079,0.161,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,40,Yes,No,No,No,0.408,0.076,0.175,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,41,Yes,No,No,Ground up,0.365,0.071,0.124,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,42,Yes,No,No,One piece,0.412,0.078,0.183,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,43,No,Yes,No,No,0.421,0.084,0.145,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,44,Yes,Yes,No,No,0.398,0.075,0.154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,45,Yes,No,Yes,No,0.44,0.09,0.07,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,46,Yes,No,Yes,One piece,0.376,0.078,0.13,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,47,Yes,Yes,Yes,Ground up,0.413,0.078,0.13,1.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,48,No,Yes,No,One piece,0.441,0.086,0.281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,49,Yes,Yes,Yes,One piece,1.144,0.169,0.337,1.522,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,50,Yes,No,No,No,1.564,0.311,0.366,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,51,No,Yes,Yes,One piece,0.598,0.117,0.2,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,52,No,No,Yes,Ground up,0.957,0.172,0.355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
